BaNaN mp-1245803
Lu5Si3B mp-13234
Ho5Si3B mp-13235
Hf5Si3 mp-15965
U2Ta6O19 mp-16002
Tb5Sb3 mp-16230
K3TbSi2O7 mp-16594
Sc5Ga3 mp-17332
TmBO3 mp-17620
Ca6GaN5 mp-17875
PrF3 mp-17906
Hg5Au6 mp-1812
LaSiNO2 mp-18559
Sr6GaN5 mp-18635
Hf5Sn3 mp-21104
LiH6ClO7 mp-23797
Sr5As3H mp-24338
LaTlO3 mp-29257
Ta5Ga3 mp-30668
Ti5Ga4 mp-30675
Ho5Rh3 mp-30734
Er5Sn3 mp-31385
WO3 mp-32777
Fe2Mo3O8 mp-504974
Ce5Ge3 mp-510493
Nd5Sn3 mp-510503
U3TiGe5 mp-541856
LaH6Au3C6(N2O)3 mp-542688
SiO2 mp-557211
Sm4I6O mp-558423
Zr5Si3 mp-568115
Ti5Ge3 mp-568151
CaAgBi mp-568664
Ba6NaCu3Te14 mp-569168
La5Sn3Br mp-569350
Th7Os3 mp-569819
Er5NiPb3 mp-570864
Gd5CuBi3 mp-581831
Ce3MnBi5 mp-639263
Y5CuPb3 mp-646750
Zr5Pb3 mp-681992
V3Zn7H3SO19 mp-757858
Li2Ni3TeO8 mp-771960
Zr5Sn3O mp-779662
Yb4Br6O mp-850213
Lu5Rh3 mp-865778
K3TaF8 mp-866663
Th2Ta6O19 mp-9275
La3ZrSb5 mp-9435
Tm5Sb3 mp-972463
Hf5Al3N mp-977347
SiGe mp-978534
Ti5Si3C mp-995201
Nb2Ni2O9 mvc-11650
GaN mp-1007824
OsN2 mp-1018851
PrCuPb mp-1018900
CaPAu mp-10677
TmZnGa mp-1071694
CaAgBi mp-1071876
CeAlAu mp-1077768
BaZrSe3 mp-1079300
CeSe2 mp-1080638
AlCo3 mp-1080667
MoO2 mp-1094123
Ca2Mg3Si mp-1095343
Al2Zn2S5 mp-1096793
Cr3N2 mp-1096885
HfC mp-1096993
CeSe2 mp-1098706
EuGaGe mp-1101845
TiOs2 mp-1101941
Nb5Ga3 mp-1105552
VP mp-1114
Si mp-1120747
AlAs mp-11209
Na3As mp-1136
HfPd3 mp-11453
Zr2SN2 mp-11583
Ca5Pb3 mp-1182146
Ac3Eu mp-1183271
CaYb3 mp-1183611
CeEr3 mp-1183865
Ga3B mp-1184351
Eu3Nb mp-1184441
MgPd3 mp-1185939
MgSi3 mp-1185967
Na3La mp-1186114
Nd3Sm mp-1186281
NdSm3 mp-1186333
Pm3Eu mp-1186554
Pr3Sc mp-1186730
SnHg3 mp-1187088
SrCa3 mp-1187176
TmBi3 mp-1187685
Y3In mp-1187884
Yb3Er mp-1187992
Nd5Si3 mp-1188498
AlV4N3 mp-1189472
Zr5CdPb3 mp-1189916
NiNF3 mp-1192886
Hf9SiMo4 mp-1194003
Tm2Al2Fe15 mp-1198100
Y(ZnP)3 mp-1207692
Y2Mg3Zn4 mp-1207783
Ti5CoSb3 mp-1208267
Ta5Si3N mp-1208335
ZrRe2 mp-12109
Ba3ZrIr2O9 mp-1214509
Ba3Ta2Ti6O21 mp-1214621
Zr2SiNi3 mp-1215663
TiMnSb mp-1216728
