Pr4B4O11F2 mp-1197562
SrSn2H10Cl6O5 mp-1198973
PrP4NO12 mp-1200419
Rb2Cd3(B4O7)4 mp-1200744
Si6BiH54C18N4Cl mp-1202078
LiY3Si2(O4F)2 mp-1202176
Nb3Br7N2O5 mp-1202214
Na2YHC2O7 mp-1202901
CaP2H8(CO3)2 mp-1203091
Ho5B2(O2F3)3 mp-1203766
Gd4B4O11F2 mp-1203805
V2Pb14Cl4O17 mp-1204784
Na7Mn5P3H6O15F13 mp-1205264
Yb2(GePt3)3 mp-1207679
RbTb(WO4)2 mp-1209144
Rb3TbCl6 mp-1209455
PuF4 mp-1209625
NaFe2PbF9 mp-1210072
NaMn4(AsO4)3 mp-1210122
NaAlCr2(HO4)2 mp-1210245
KEu(CO3)2 mp-1211491
KAl2NiP3O14 mp-1211858
K3Au3I8 mp-1211892
CsNbCl6 mp-1213080
H9C6N11 mp-1213393
Eu2B4O9 mp-1213631
Ba3NdIr2O9 mp-1214535
Cd(N2Cl)6 mp-1215014
YZr3F15 mp-1215803
Sr3Ta4Ti4O21 mp-1218665
Mn4Zn3(NiO6)2 mp-1222033
K2SO4 mp-1224239
Cs3V2O2F7 mp-1226167
Ba5Nb2O11 mp-1228322
Mn2(CN2)3 mp-1245400
Y2Mg3N4 mp-1245474
Sr2IrN3 mp-1245704
Mg3(InN2)2 mp-1246014
Ba3Sc2N4 mp-1246130
Sr3(NiN2)2 mp-1246162
Zn3(FeN2)2 mp-1246188
Al2Cd3N4 mp-1246198
Ba5(SnN3)2 mp-1246390
Zn3(CrN2)2 mp-1246395
